modelo,braco,seed,turnosCompletados,completou,vencedor,aldeiasLLM,aldeiasBurro,enviosPropostos,enviosAceites,enviosRejeitados,rejConstrucao,rejEnvio,errosRede,charsConstrucaoMed,charsEnvioMed,charsMonoMed,tempoChamadaMedMs,tempoTurnoMedMs,rej_tropaNaoTem,rej_recurso,rej_faltouCampo,rej_zeroTropas,rej_tipoDesconhecido,rej_outro
qwen2.5:3b,F2,1,15,true,limite,7,12,30,10,20,13,20,0,2555.73,4630.33,0.00,3261.00,6522.73,17,13,0,0,0,3
qwen2.5:3b,F2,2,15,true,limite,3,11,30,16,14,5,14,0,2233.00,4518.73,0.00,3164.03,6328.73,14,5,0,0,0,0
qwen2.5:3b,F2,3,15,true,limite,5,10,30,10,20,19,20,0,2632.67,5023.53,0.00,3250.20,6501.60,11,18,1,7,0,2
qwen2.5:3b,F2,4,15,true,limite,6,9,29,11,18,17,18,0,2542.00,5048.53,0.00,3407.80,6816.07,18,17,0,0,0,0
qwen2.5:3b,F2,5,15,true,limite,7,9,28,15,13,12,13,0,2654.87,4819.93,0.00,3293.50,6588.27,9,12,0,2,0,2
