modelo,braco,seed,turnosCompletados,completou,vencedor,aldeiasLLM,aldeiasBurro,enviosPropostos,enviosAceites,enviosRejeitados,rejConstrucao,rejEnvio,errosRede,charsConstrucaoMed,charsEnvioMed,charsMonoMed,tempoChamadaMedMs,tempoTurnoMedMs,rej_tropaNaoTem,rej_recurso,rej_faltouCampo,rej_zeroTropas,rej_tipoDesconhecido,rej_outro
qwen2.5:3b,F0,1,15,true,limite,4,11,30,13,17,4,17,0,0.00,0.00,5445.40,3228.27,3229.73,16,2,2,1,0,0
qwen2.5:3b,F0,2,15,true,limite,3,11,24,9,15,7,15,0,0.00,0.00,5449.73,3142.20,3142.80,15,3,4,0,0,0
qwen2.5:3b,F0,3,15,true,limite,5,10,17,7,10,4,10,0,0.00,0.00,5892.20,4154.53,4155.27,2,3,1,8,0,0
qwen2.5:3b,F0,4,15,true,limite,6,9,25,15,10,7,10,0,0.00,0.00,5908.00,4689.60,4690.00,10,4,3,0,0,0
qwen2.5:3b,F0,5,15,true,limite,5,10,30,16,14,6,14,0,0.00,0.00,5883.07,5109.80,5110.40,14,2,4,0,0,0
