modelo,braco,seed,turnosCompletados,completou,vencedor,aldeiasLLM,aldeiasBurro,enviosPropostos,enviosAceites,enviosRejeitados,rejConstrucao,rejEnvio,errosRede,charsConstrucaoMed,charsEnvioMed,charsMonoMed,tempoChamadaMedMs,tempoTurnoMedMs,rej_tropaNaoTem,rej_recurso,rej_faltouCampo,rej_zeroTropas,rej_tipoDesconhecido,rej_outro
qwen2.5:3b,F1,1,15,true,limite,5,10,30,11,19,13,19,0,4283.33,4442.40,0.00,3304.73,6611.40,19,11,2,0,0,0
qwen2.5:3b,F1,2,15,true,limite,3,11,30,8,22,6,22,0,3954.13,4421.00,0.00,3222.43,6446.13,22,5,1,0,0,0
qwen2.5:3b,F1,3,15,true,limite,4,10,30,8,22,19,22,0,4784.40,5007.13,0.00,3429.23,6859.07,15,18,1,6,0,1
qwen2.5:3b,F1,4,15,true,limite,4,8,30,8,22,8,22,0,4312.20,4719.73,0.00,3428.40,6858.00,21,7,1,1,0,0
qwen2.5:3b,F1,5,15,true,limite,8,9,30,15,15,9,15,0,4731.60,4772.27,0.00,3598.50,7197.60,10,7,1,5,0,1
