modelo,braco,seed,turnosCompletados,completou,vencedor,aldeiasLLM,aldeiasBurro,enviosPropostos,enviosAceites,enviosRejeitados,rejConstrucao,rejEnvio,errosRede,charsConstrucaoMed,charsEnvioMed,charsMonoMed,tempoChamadaMedMs,tempoTurnoMedMs,rej_tropaNaoTem,rej_recurso,rej_faltouCampo,rej_zeroTropas,rej_tipoDesconhecido,rej_outro
qwen2.5:3b,F3,1,15,true,limite,5,12,30,11,19,12,19,0,2357.40,4524.00,0.00,3140.60,6282.27,19,12,0,0,0,0
qwen2.5:3b,F3,2,15,true,limite,3,10,30,12,18,6,18,0,2164.00,4593.33,0.00,3165.90,6332.07,18,4,2,0,0,0
qwen2.5:3b,F3,3,15,true,limite,4,10,30,12,18,12,18,0,2390.40,4776.40,0.00,3151.60,6303.73,17,12,0,0,0,1
qwen2.5:3b,F3,4,15,true,limite,3,13,29,13,16,14,16,0,2417.27,5132.93,0.00,3201.43,6403.60,13,14,0,3,0,0
qwen2.5:3b,F3,5,15,true,limite,9,9,30,17,13,16,13,0,2687.47,4801.13,0.00,3398.20,6796.67,7,15,1,5,0,1
